id,author,pubdate,description,sentimen
1,@reecky7922,5/8/24 3:56,Barang2anak SLB aja di persulit apa lagi orang orang biasa â˜¹,negatif
2,@david_lukas_leithenu,5/8/24 2:51,"Orang berkebutuhan khusus dispesialkan cuma diberi kursi duduk saja, klo bisa dicuanin ya harus cuan ðŸ˜‚ðŸ˜‚ðŸ˜‚",negatif
3,@sudartotitik4713,5/8/24 0:23,Tugas yg diemban dari negara. Agar pendapatan pejabat lebih banyak.,negatif
4,@AndriSiddhar-tk2zt,5/7/24 15:42,"Makin bengkak tuh rekening pejabat2nya...peras peras...peras sampe kering,baru nyari mangsa lagi",negatif
5,@user-jz3gb1hj8x,5/7/24 8:53,Bea cukai klu dituruti kita serasa dipalak dn itu kita mjd geram dn sakit hati....biarlah mereka bea cukai dpt karma krn kerjaannya merampas uang pribadi orang2 yg bepergian,negatif
6,@kendaboo5723,5/7/24 5:20,Turun kan kpk periksa semua kekayaannya pegawai beacukai,negatif
7,@KeluhanMoba,5/7/24 4:46,kayak nya penguasa negeri ni adalaah .....,netral
8,@gehucireng6924,5/7/24 3:45,ankk buahnya sri mulyani.....ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,netral
9,@aripurnama6049,5/7/24 2:26,"Gak viral gak slese,",netral
10,@ookjelek7169,5/7/24 0:51,Petugas bea cukai kelas rendahan saja Byk tanahnya dan rumahnya Hebat korupsinyaðŸ˜‚ðŸ˜‚ðŸ˜‚,negatif
11,@achmadfauzi217,5/6/24 22:50,"Bea cukai ini memalukan negara kesatuan republik indonesia,,,colek pak prabowo presiden 2024 moga bisa menyikat abis pemalak berseragam ini.",negatif
12,@marwanto888,5/6/24 22:22,Liat gayanya pegawai bea cukai aja dah enek. Petentang petenteng. Sok jago. Tukang peras rakyat. Bisanya makan duit haram. Makan duit rakyat,negatif
13,@KotoriItsuka901,5/6/24 15:44,Sebelum ada bea cukai: aku bangga hidup di indonesia Sesudah ada bea cukai: aku malu hidup di negara indonesia,negatif
14,@rezalatukaisupy8022,5/6/24 11:37,Pembohong akan menurupi kebohongan kebohongan lainnya...,negatif
15,@mahdinafi4393,5/6/24 9:08,pasti tim u23 indonesia terpaksa mengalah dengan tim uzbekistan gara gara takut dikenakan pajak pialanya dari qatar..seperti pajak piala kontestan musik dari indonesia juara di jepang..mungkin tim u23 indonesia gak mau menang gara gara pajak bea cukai ini..,netral
16,@anjingplastik197,5/6/24 7:07,Kantor kuruptor......ðŸ‘ŽðŸ–•,negatif
17,@Starfall01,5/6/24 4:47,Luar biasa Indonesiaku â¤,positif
18,@albertfsalampessyangky7068,5/6/24 2:06,Serem bia cukai,negatif
19,@user-jz3gb1hj8x,5/6/24 1:50,Aturan hanya untk tameng korupsi Bea cukai sdh kelewat muntah2 itu korupsinya ngeriiii,negatif
20,@user-jz3gb1hj8x,5/6/24 1:47,Ayo dibongkar ayo diaudit bea cukai penyebab negara dn rakyat jd miskin bea cukai sarang koruptor,negatif
21,@monmon97,5/6/24 0:16,Periksa bea cukai mungkin banyak koruptor di situ.,negatif
22,@monmon97,5/6/24 0:15,Bea cukai itu macam rampok aja ya.,negatif
23,@anglersabtuminggu6769,5/5/24 23:43,Maling maling aja,negatif
24,@alexanderyuga28,5/5/24 20:53,"Cenayang bisa tau harganya ðŸ˜‚,tapi parah sih utk pendidikan malah di tahanðŸ˜¤",negatif
25,@priyagungpuruhito4835,5/5/24 20:48,sugeng km bohong sugeng,negatif
26,@uzumakishishui388,5/5/24 18:04,Menteri pendidikan ngomong apa soal ini?,netral
27,@nafanc,5/5/24 11:09,Semoga hisabnya paling lama,negatif
28,@nafanc,5/5/24 11:09,Laknat,negatif
29,@user-he9sh2kx9w,5/5/24 9:03,Dah 2 tahun nunggu heboh dulu...parah barang hibah utk belajar SLB lagi...msih juga dipajak..parah banget cari uang nya ðŸ˜‚,negatif
30,@usakenslaveno.6913,5/5/24 3:23,Kalo hp udah error total jalan satu satunya ya di reboot. Kayaknya yang ini perlu di reboot juga biar bersih ke akar-akarnya,negatif
31,@X._HATRED_.X,5/5/24 0:57,"Benar kata marselino, negara ini lucu",negatif
32,@Lawakkonyol,5/4/24 20:32,Kerja di bc enak banget. Malakin orang2. Pantes aja pada ga berkah hidupnya. Makan uang haram. Uang yang tidak diberikan secara ikhlas,negatif
33,@ahrimesta5667,5/4/24 20:20,"Parah, harusnya negara turun tangan buat membantu",negatif
34,@rainsapattiruhu,5/4/24 14:29,matinya ngga tenang tuh orang2,negatif
35,@Aji_Ning_Ati,5/4/24 14:17,"Berita sapatu, jaket, apa lagi, saya si setuju kalau bea cukai di periksa kejagung",negatif
36,@oktavianiikaismiati4065,5/4/24 13:43,Sarang penyamun.... Penghianat bangsa dan negara....,negatif
37,@keris.gentalacakra,5/4/24 13:12,Perk0Ï€T0|an macam apa iniðŸ˜‚,negatif
38,@subhansandero6618,5/4/24 12:18,"Kebiasaan!! Nunggu viral dulu baru di selesaikan,, kalau gak viral itu pasti masih di tahan,, ooohhhhh negeriKu",negatif
39,@zadadenty2296,5/4/24 11:26,Terus misal kalo nggak barang dari hibah... Misal sekolahnya sendiri memang mampu buat beliin alat tersebut buat anak2 SLB disana gmn coba? Tetep kena pajak juga masak,negatif
40,@RS-ce5ke,5/4/24 8:04,kekal kalian di neraka para koruptor bea cukai,negatif
41,@edie8463,5/4/24 7:32,Mengerikaaan bea cukai,negatif
42,@achozvirgiawan8921,5/4/24 4:24,Bea cukai ngeleess,negatif
43,@user-dn8bx5fn8e,5/4/24 4:09,Bea curi,negatif
