id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl,
1,"@user-zq5ie3we2m","jangan mancing amarah masyarakat habis tu gedung bea cukai kebakar","UgyT8q6YiIvX0Jzu2xZ4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgyT8q6YiIvX0Jzu2xZ4AaABAg","2024-05-08 06:17:16",0,"jangan mancing amarah masyarakat habis tu gedung bea cukai kebakar","http://www.youtube.com/@user-zq5ie3we2m",
2,"@ns4tofficial276","gw pernah denger dijalan ada org ngobrol soal bea cukai, ada permainan orang dalam buat ambil barang dr bea cukai, nanti barang nya dijual lagi ama dia. ternyata bener setelah liat berita ini, banyak maling, cuma aksi nya yg berbeda2","UgxIzuyQdQ4UHH7jkTh4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgxIzuyQdQ4UHH7jkTh4AaABAg","2024-05-07 23:48:30",0,"gw pernah denger dijalan ada org ngobrol soal bea cukai, ada permainan orang dalam buat ambil barang dr bea cukai, nanti barang nya dijual lagi ama dia. ternyata bener setelah liat berita ini, banyak maling, cuma aksi nya yg berbeda2","http://www.youtube.com/@ns4tofficial276",
3,"@sahrohman6166","Kasihan udah kena bea cukai paket nya rusak 😅","UgwmEF4DBBa3gXFMVFN4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgwmEF4DBBa3gXFMVFN4AaABAg","2024-05-07 13:44:15",0,"Kasihan udah kena bea cukai paket nya rusak 😅","http://www.youtube.com/@sahrohman6166",
4,"@Hanmoon850","Tai babi lah semua nya najis dan HARAM LU ORANG SEMUA. PEJABAT BEA CUKAI DAN KEUANGAN. SEMOGA TUHAN MAHA KUASA MENGALAHKAN ALLOH DAN MENGHUKUM KALIAN SEMUA. KARENA SELAMA INI ALLOH DIEM AJA.","UgyeNBrSavmAVhIBVJt4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgyeNBrSavmAVhIBVJt4AaABAg","2024-05-07 12:58:47",0,"Tai babi lah semua nya najis dan HARAM LU ORANG SEMUA. PEJABAT BEA CUKAI DAN KEUANGAN. SEMOGA TUHAN MAHA KUASA MENGALAHKAN ALLOH DAN MENGHUKUM KALIAN SEMUA. KARENA SELAMA INI ALLOH DIEM AJA.","http://www.youtube.com/@Hanmoon850",
5,"@WAN_GAMING_ID","Enak betul klo ga viral tetap ditahan tu mainan dan sepatu.. yg lainnya (ga viral) gmna bos?","UgxCUMeQior6UZxCCEl4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgxCUMeQior6UZxCCEl4AaABAg","2024-05-07 11:44:49",0,"Enak betul klo ga viral tetap ditahan tu mainan dan sepatu.. yg lainnya (ga viral) gmna bos?","http://www.youtube.com/@WAN_GAMING_ID",
6,"@rizkyyannor3938","Viral kan","UgyGDKWSXo5Mkd70PQ94AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgyGDKWSXo5Mkd70PQ94AaABAg","2024-05-07 11:42:41",0,"Viral kan","http://www.youtube.com/@rizkyyannor3938",
7,"@NewKidsOnTheFrags","Tenang aja, saya sdh bantu viralkan lagi ke beberapa reviewer megatron di luar negeri, termasuk beberapa media berita asing yg kebetulan meliput megatron. Saya ceritakan bagaimana kelakuan bea cukai Indonesia yg suka memeras org dgn alasan ""pajak"" yg tdk masuk akal. Sekalian meminta bagi siapapun yg mau dtg ke Jakarta, harus berhati hati, krn klu sial, bakal kena peras oleh bea cukai Jakarta yg bisa mencapai angka ribuan dollar. Saya juga ceritakan TKI yg pulang ke Indonesia sering jadi korban pemerasan karyawan bea cukai. Mari kita sebarkan fakta yg tdk bisa dibantah ini ke berbagai negara, agar semua org yg dtg ke Jakarta dari luar, bisa lebih hati hati dan waspada. Menyebar kejujuran adalah pahala. Apalagi tujuannya menyelamatkan banyak org dari tindak pemerasan bea cukai.","UgxzudpRIK6UEhAAp494AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgxzudpRIK6UEhAAp494AaABAg","2024-05-07 10:07:25",0,"Tenang aja, saya sdh bantu viralkan lagi ke beberapa reviewer megatron di luar negeri, termasuk beberapa media berita asing yg kebetulan meliput megatron. Saya ceritakan bagaimana kelakuan bea cukai Indonesia yg suka memeras org dgn alasan ""pajak"" yg tdk masuk akal. Sekalian meminta bagi siapapun yg mau dtg ke Jakarta, harus berhati hati, krn klu sial, bakal kena peras oleh bea cukai Jakarta yg bisa mencapai angka ribuan dollar. Saya juga ceritakan TKI yg pulang ke Indonesia sering jadi korban pemerasan karyawan bea cukai. Mari kita sebarkan fakta yg tdk bisa dibantah ini ke berbagai negara, agar semua org yg dtg ke Jakarta dari luar, bisa lebih hati hati dan waspada. Menyebar kejujuran adalah pahala. Apalagi tujuannya menyelamatkan banyak org dari tindak pemerasan bea cukai.","http://www.youtube.com/@NewKidsOnTheFrags",
8,"@nuraziizah5545","Dasar perampok 😂","Ugx3Lsr-i4YdZ04hYt94AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=Ugx3Lsr-i4YdZ04hYt94AaABAg","2024-05-07 08:05:53",0,"Dasar perampok 😂","http://www.youtube.com/@nuraziizah5545",
9,"@jassnoEeeee","Kemarin saya ketemu ada yang jual coin seri 40 tahun Transformers ada muka Megatron di jual dengan harga 4jt nama akunnya ben ben","UgwUJ9-q8AV0ebNGynl4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgwUJ9-q8AV0ebNGynl4AaABAg","2024-05-07 07:11:48",0,"Kemarin saya ketemu ada yang jual coin seri 40 tahun Transformers ada muka Megatron di jual dengan harga 4jt nama akunnya ben ben","http://www.youtube.com/@jassnoEeeee",
10,"@taufiksetiaji9027","Tolong kpk priksa Bea cukai..","UgzziPslCuIeoCPGETh4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgzziPslCuIeoCPGETh4AaABAg","2024-05-07 01:14:58",0,"Tolong kpk priksa Bea cukai..","http://www.youtube.com/@taufiksetiaji9027",
11,"@Boomkins","sangat bokbrok emang 🗿","UgzCVPmDeWWNRAjp5594AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgzCVPmDeWWNRAjp5594AaABAg","2024-05-07 00:29:31",0,"sangat bokbrok emang 🗿","http://www.youtube.com/@Boomkins",
12,"@bocilbaikcekali","Menteri kurang peka","UgybARTtAHZMrQd5SzN4AaABAg","",0,"https://www.youtube.com/watch?v=q5MZIa3LwxM&lc=UgybARTtAHZMrQd5SzN4AaABAg","2024-05-06 23:49:07",0,"Menteri kurang peka","http://www.youtube.com/@bocilbaikcekali",
