id,author,description,guid,to,likecount,link,pubdate,replycount,title,authorChannelUrl,
1,"@reecky7922","Barang2anak SLB aja di persulit apa lagi orang orang biasa ☹","UgyidziH4Jkkl7uigYh4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgyidziH4Jkkl7uigYh4AaABAg","2024-05-08 03:56:01",0,"Barang2anak SLB aja di persulit apa lagi orang orang biasa ☹","http://www.youtube.com/@reecky7922",
2,"@david_lukas_leithenu","Orang berkebutuhan khusus dispesialkan cuma diberi kursi duduk saja, klo bisa dicuanin ya harus cuan 😂😂😂","UgxaBBjdM8PySP4JP6B4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgxaBBjdM8PySP4JP6B4AaABAg","2024-05-08 02:51:49",0,"Orang berkebutuhan khusus dispesialkan cuma diberi kursi duduk saja, klo bisa dicuanin ya harus cuan 😂😂😂","http://www.youtube.com/@david_lukas_leithenu",
3,"@sudartotitik4713","Tugas yg diemban dari negara. Agar pendapatan pejabat lebih banyak.","UgxVY7kfsWWzJYu9_L14AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgxVY7kfsWWzJYu9_L14AaABAg","2024-05-08 00:23:33",0,"Tugas yg diemban dari negara. Agar pendapatan pejabat lebih banyak.","http://www.youtube.com/@sudartotitik4713",
4,"@AndriSiddhar-tk2zt","Makin bengkak tuh rekening pejabat2nya...peras peras...peras sampe kering,baru nyari mangsa lagi","Ugxc7UKxKcatRmvznNp4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=Ugxc7UKxKcatRmvznNp4AaABAg","2024-05-07 15:42:22",0,"Makin bengkak tuh rekening pejabat2nya...peras peras...peras sampe kering,baru nyari mangsa lagi","http://www.youtube.com/@AndriSiddhar-tk2zt",
5,"@user-jz3gb1hj8x","Bea cukai klu dituruti kita serasa dipalak dn itu kita mjd geram dn sakit hati....biarlah mereka bea cukai dpt karma krn kerjaannya merampas uang pribadi orang2 yg bepergian","Ugz8-j5Kx7_4jAMoyot4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=Ugz8-j5Kx7_4jAMoyot4AaABAg","2024-05-07 08:53:05",0,"Bea cukai klu dituruti kita serasa dipalak dn itu kita mjd geram dn sakit hati....biarlah mereka bea cukai dpt karma krn kerjaannya merampas uang pribadi orang2 yg bepergian","http://www.youtube.com/@user-jz3gb1hj8x",
6,"@kendaboo5723","Turun kan kpk periksa semua kekayaannya pegawai beacukai","UgxIa7-1KN5DpM2UMsR4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgxIa7-1KN5DpM2UMsR4AaABAg","2024-05-07 05:20:48",0,"Turun kan kpk periksa semua kekayaannya pegawai beacukai","http://www.youtube.com/@kendaboo5723",
7,"@KeluhanMoba","kayak nya penguasa negeri ni adalaah .....","Ugzs4c8Q6cIm3sAog8h4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=Ugzs4c8Q6cIm3sAog8h4AaABAg","2024-05-07 04:46:14",0,"kayak nya penguasa negeri ni adalaah .....","http://www.youtube.com/@KeluhanMoba",
8,"@gehucireng6924","ankk buahnya sri mulyani.....😂😂😂😂😂","UgwlxmxCmkFtD0xHpQt4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgwlxmxCmkFtD0xHpQt4AaABAg","2024-05-07 03:45:12",0,"ankk buahnya sri mulyani.....😂😂😂😂😂","http://www.youtube.com/@gehucireng6924",
9,"@aripurnama6049","Gak viral gak slese,","UgxQ8x9AlN9VASYsaMd4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgxQ8x9AlN9VASYsaMd4AaABAg","2024-05-07 02:26:48",0,"Gak viral gak slese,","http://www.youtube.com/@aripurnama6049",
10,"@ookjelek7169","Petugas bea cukai kelas rendahan saja Byk tanahnya dan rumahnya Hebat korupsinya😂😂😂","UgzUE6etsDoUTdQvtnp4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgzUE6etsDoUTdQvtnp4AaABAg","2024-05-07 00:51:13",0,"Petugas bea cukai kelas rendahan saja Byk tanahnya dan rumahnya Hebat korupsinya😂😂😂","http://www.youtube.com/@ookjelek7169",
11,"@achmadfauzi217","Bea cukai ini memalukan negara kesatuan republik indonesia,,,colek pak prabowo presiden 2024 moga bisa menyikat abis pemalak berseragam ini.","UgzUtKbF5RtBXZD-XXx4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgzUtKbF5RtBXZD-XXx4AaABAg","2024-05-06 22:50:22",0,"Bea cukai ini memalukan negara kesatuan republik indonesia,,,colek pak prabowo presiden 2024 moga bisa menyikat abis pemalak berseragam ini.","http://www.youtube.com/@achmadfauzi217",
12,"@marwanto888","Liat gayanya pegawai bea cukai aja dah enek. Petentang petenteng. Sok jago. Tukang peras rakyat. Bisanya makan duit haram. Makan duit rakyat","UgxVSmZe_EGYWOs0CCN4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgxVSmZe_EGYWOs0CCN4AaABAg","2024-05-06 22:22:45",0,"Liat gayanya pegawai bea cukai aja dah enek. Petentang petenteng. Sok jago. Tukang peras rakyat. Bisanya makan duit haram. Makan duit rakyat","http://www.youtube.com/@marwanto888",
13,"@KotoriItsuka901","Sebelum ada bea cukai: aku bangga hidup di indonesia Sesudah ada bea cukai: aku malu hidup di negara indonesia","Ugy4ifRKBtc6A_ex0Xl4AaABAg","",1,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=Ugy4ifRKBtc6A_ex0Xl4AaABAg","2024-05-06 15:44:04",0,"Sebelum ada bea cukai: aku bangga hidup di indonesia Sesudah ada bea cukai: aku malu hidup di negara indonesia","http://www.youtube.com/@KotoriItsuka901",
14,"@rezalatukaisupy8022","Pembohong akan menurupi kebohongan kebohongan lainnya...","Ugz0UWMjy5antu7AEWV4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=Ugz0UWMjy5antu7AEWV4AaABAg","2024-05-06 11:37:31",0,"Pembohong akan menurupi kebohongan kebohongan lainnya...","http://www.youtube.com/@rezalatukaisupy8022",
15,"@mahdinafi4393","pasti tim u23 indonesia terpaksa mengalah dengan tim uzbekistan gara gara takut dikenakan pajak pialanya dari qatar..seperti pajak piala kontestan musik dari indonesia juara di jepang..mungkin tim u23 indonesia gak mau menang gara gara pajak bea cukai ini..","Ugw6EZtVgklu0D5xlT54AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=Ugw6EZtVgklu0D5xlT54AaABAg","2024-05-06 09:08:21",0,"pasti tim u23 indonesia terpaksa mengalah dengan tim uzbekistan gara gara takut dikenakan pajak pialanya dari qatar..seperti pajak piala kontestan musik dari indonesia juara di jepang..mungkin tim u23 indonesia gak mau menang gara gara pajak bea cukai ini..","http://www.youtube.com/@mahdinafi4393",
16,"@anjingplastik197","Kantor kuruptor......👎🖕","UgwOqDzNZ71XmPLepPZ4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgwOqDzNZ71XmPLepPZ4AaABAg","2024-05-06 07:07:22",0,"Kantor kuruptor......👎🖕","http://www.youtube.com/@anjingplastik197",
17,"@Starfall01","Luar biasa Indonesiaku ❤","UgzLim0cAgzylFG7Cth4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgzLim0cAgzylFG7Cth4AaABAg","2024-05-06 04:47:39",0,"Luar biasa Indonesiaku ❤","http://www.youtube.com/@Starfall01",
18,"@albertfsalampessyangky7068","Serem bia cukai","UgzFhBnl9kV5lKlG4FF4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgzFhBnl9kV5lKlG4FF4AaABAg","2024-05-06 02:06:32",0,"Serem bia cukai","http://www.youtube.com/@albertfsalampessyangky7068",
19,"@user-jz3gb1hj8x","Aturan hanya untk tameng korupsi Bea cukai sdh kelewat muntah2 itu korupsinya ngeriiii","UgwrKmQefgWrRXCjkUF4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgwrKmQefgWrRXCjkUF4AaABAg","2024-05-06 01:50:23",0,"Aturan hanya untk tameng korupsi Bea cukai sdh kelewat muntah2 itu korupsinya ngeriiii","http://www.youtube.com/@user-jz3gb1hj8x",
20,"@user-jz3gb1hj8x","Ayo dibongkar ayo diaudit bea cukai penyebab negara dn rakyat jd miskin bea cukai sarang koruptor","UgwM1EZtYa_jC8TIK0t4AaABAg","",0,"https://www.youtube.com/watch?v=thptjzpQy4I&lc=UgwM1EZtYa_jC8TIK0t4AaABAg","2024-05-06 01:47:51",0,"Ayo dibongkar ayo diaudit bea cukai penyebab negara dn rakyat jd miskin bea cukai sarang koruptor","http://www.youtube.com/@user-jz3gb1hj8x",
